project name,subsector,match_score,Expenditures (million USD),food system indicator,Value,benchmark
Sustainable Food Systems and Resilience Livelihood Activities,Resilience,100,0.079649758,Number of animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities,0,2.7619486
Sustainable Food Systems and Resilience Livelihood Activities,Resilience,100,0.079649758,Number of plant genetic resources for food and agriculture secured in either medium- or long-term conservation facilities,51309.5,41916.18
Sustainable Food Systems and Resilience Livelihood Activities,Resilience,100,0.079649758,Prevalence of severe coping strategies,0.31671298,0.3877903
Sustainable Food Systems and Resilience Livelihood Activities,Resilience,100,0.079649758,Proportion of agricultural land with minimum level of species diversity (crop and pasture),30.6862,43.054363
Sustainable Food Systems and Resilience Livelihood Activities,Resilience,100,0.079649758,Ratio of total damages from all disasters to GDP,0.15402226,0.485818
Sustainable Food Systems and Resilience Livelihood Activities,Resilience,100,0.079649758,Social capital index,0.33948606,0.43231088
Water Security and Climate Adaptation in Mandera and Wajir Clusters,Food security,76,1.13863637,POU: Prevalence of undernourishment,23.8,8.960125
Water Security and Climate Adaptation in Mandera and Wajir Clusters,Food security,76,1.13863637,Percent population experiencing moderate or severe food insecurity,,
Water Security and Climate Resilience (Project Advanced),Resilience,100,3.066760839,Dietary sourcing flexibility index,0.7782255,0.72167885
Water Security and Climate Resilience (Project Advanced),Resilience,100,3.066760839,Food price volatility,0.73173016,0.7655175
Water Security and Climate Resilience (Project Advanced),Resilience,100,3.066760839,Food supply variability,,
Water Security and Climate Resilience (Project Advanced),Resilience,100,3.066760839,Mobile cellular subscriptions,111.77137,106.29662
Water Security and Climate Resilience (Project Advanced),Resilience,100,3.066760839,Number of animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities,0,2.7619486
Water Security and Climate Resilience (Project Advanced),Resilience,100,3.066760839,Number of plant genetic resources for food and agriculture secured in either medium- or long-term conservation facilities,51309.5,41916.18
Water Security and Climate Resilience (Project Advanced),Resilience,100,3.066760839,Prevalence of severe coping strategies,0.31671298,0.3877903
Water Security and Climate Resilience (Project Advanced),Resilience,100,3.066760839,Proportion of agricultural land with minimum level of species diversity (crop and pasture),30.6862,43.054363
Water Security and Climate Resilience (Project Advanced),Resilience,100,3.066760839,Ratio of total damages from all disasters to GDP,0.15402226,0.485818
Water Security and Climate Resilience (Project Advanced),Resilience,100,3.066760839,Social capital index,0.33948606,0.43231088
Water Security and Climate Resilience (Project Advanced),Food security,76,3.066760839,POU: Prevalence of undernourishment,23.8,8.960125
Water Security and Climate Resilience (Project Advanced),Food security,76,3.066760839,Percent population experiencing moderate or severe food insecurity,,
Water Storage and Flood Control Services,Storage and distribution,63,0.162936922,Cereal losses,2.2174685,3.7695398
Water Storage and Flood Control Services,Storage and distribution,63,0.162936922,Farm infrastructure index,48.9,54.907303
Water Storage and Flood Control Services,Storage and distribution,63,0.162936922,Fruit losses,8.873863,9.169244
Water Storage and Flood Control Services,Storage and distribution,63,0.162936922,Percent of the rural population with access to electricity,27.75625,61.22513
Water Storage and Flood Control Services,Storage and distribution,63,0.162936922,Pulse losses,11.987129,4.0619955
Water Storage and Flood Control Services,Storage and distribution,63,0.162936922,Road density,0.001657554,0.007206078
Water Storage and Flood Control Services,Storage and distribution,63,0.162936922,Starchy root losses,8.218157,7.079936
Water Storage and Flood Control Services,Storage and distribution,63,0.162936922,Supply chain infrastructure index,24.5,48.44801
Water Storage and Flood Control Services,Storage and distribution,63,0.162936922,Treenut losses,6.930465,5.1389437
Water Storage and Flood Control Services,Storage and distribution,63,0.162936922,Vegetable losses,8.481014,7.3260126
Kenya Hunger Safety Net Programme,Food availability,100,30.67059956,Availability of cereals,374.35617,418.57788
Kenya Hunger Safety Net Programme,Food availability,100,30.67059956,Availability of eggs,4.342466,20.96197
Kenya Hunger Safety Net Programme,Food availability,100,30.67059956,Availability of fish,8.267123,52.05831
Kenya Hunger Safety Net Programme,Food availability,100,30.67059956,Availability of fruits,169.0822,252.95282
Kenya Hunger Safety Net Programme,Food availability,100,30.67059956,Availability of fruits and vegetables,329.637,528.67267
Kenya Hunger Safety Net Programme,Food availability,100,30.67059956,Availability of meat,34.732876,142.8432
Kenya Hunger Safety Net Programme,Food availability,100,30.67059956,Availability of pulses,49.21233,17.413548
Kenya Hunger Safety Net Programme,Food availability,100,30.67059956,Availability of starchy roots,173.0548,211.02556
Kenya Hunger Safety Net Programme,Food availability,100,30.67059956,Availability of treenuts,1.4931507,12.172429
Kenya Hunger Safety Net Programme,Food availability,100,30.67059956,Availability of vegetable oils,22.931507,35.075253
Kenya Hunger Safety Net Programme,Food availability,100,30.67059956,Availability of vegetables,160.5548,275.71985
Kenya Hunger Safety Net Programme,Food availability,100,30.67059956,Average protein supply,57.666668,88.20132
Kenya Hunger Safety Net Programme,Food availability,100,30.67059956,Dietary energy in the food supply,2243,2916.595
Kenya Hunger Safety Net Programme,Food availability,100,30.67059956,Nutrition functional diversity index,,
Kenya Hunger Safety Net Programme,Food availability,100,30.67059956,Shannon diversity index,,
Kenya Hunger Safety Net Programme,Food availability,100,30.67059956,"Share of dietary energy from cereals, roots, and tubers",53.333332,44.770153
Nairobi Water Distribution Network,"Livelihoods, Poverty, and Equity",100,1.014497396,Female share of landholdings,,2.5275002
Nairobi Water Distribution Network,"Livelihoods, Poverty, and Equity",100,1.014497396,Percent of children 5-17 years engaged in child labor,18.762,10.667903
Nairobi Water Distribution Network,"Livelihoods, Poverty, and Equity",100,1.014497396,Share of agriculture in GDP,21.556332,11.015262
Nairobi Water Distribution Network,"Livelihoods, Poverty, and Equity",100,1.014497396,Social protection adequacy,,29.74308
Nairobi Water Distribution Network,"Livelihoods, Poverty, and Equity",100,1.014497396,Social protection coverage,,59.26499
Nairobi Water Distribution Network,"Livelihoods, Poverty, and Equity",100,1.014497396,Underemployment rate,5.8,4.9184833
Nairobi Water Distribution Network,"Livelihoods, Poverty, and Equity",100,1.014497396,Unemployment rate,4.9960003,7.828033
National Food Security,Food security,100,88.62140495,POU: Prevalence of undernourishment,23.8,8.960125
National Food Security,Food security,100,88.62140495,Percent population experiencing moderate or severe food insecurity,,
National Irrigation Board,Food availability,100,6.093806337,Availability of cereals,374.35617,418.57788
National Irrigation Board,Food availability,100,6.093806337,Availability of eggs,4.342466,20.96197
National Irrigation Board,Food availability,100,6.093806337,Availability of fish,8.267123,52.05831
National Irrigation Board,Food availability,100,6.093806337,Availability of fruits,169.0822,252.95282
National Irrigation Board,Food availability,100,6.093806337,Availability of fruits and vegetables,329.637,528.67267
National Irrigation Board,Food availability,100,6.093806337,Availability of meat,34.732876,142.8432
National Irrigation Board,Food availability,100,6.093806337,Availability of pulses,49.21233,17.413548
National Irrigation Board,Food availability,100,6.093806337,Availability of starchy roots,173.0548,211.02556
National Irrigation Board,Food availability,100,6.093806337,Availability of treenuts,1.4931507,12.172429
National Irrigation Board,Food availability,100,6.093806337,Availability of vegetable oils,22.931507,35.075253
National Irrigation Board,Food availability,100,6.093806337,Availability of vegetables,160.5548,275.71985
National Irrigation Board,Food availability,100,6.093806337,Average protein supply,57.666668,88.20132
National Irrigation Board,Food availability,100,6.093806337,Dietary energy in the food supply,2243,2916.595
National Irrigation Board,Food availability,100,6.093806337,Nutrition functional diversity index,,
National Irrigation Board,Food availability,100,6.093806337,Shannon diversity index,,
National Irrigation Board,Food availability,100,6.093806337,"Share of dietary energy from cereals, roots, and tubers",53.333332,44.770153
Water Security and Climate Adaptation in Mandera and Wajir Clusters,Resilience,100,1.13863637,Dietary sourcing flexibility index,0.7782255,0.72167885
Water Security and Climate Adaptation in Mandera and Wajir Clusters,Resilience,100,1.13863637,Food price volatility,0.73173016,0.7655175
Water Security and Climate Adaptation in Mandera and Wajir Clusters,Resilience,100,1.13863637,Food supply variability,,
Water Security and Climate Adaptation in Mandera and Wajir Clusters,Resilience,100,1.13863637,Mobile cellular subscriptions,111.77137,106.29662
Water Security and Climate Adaptation in Mandera and Wajir Clusters,Resilience,100,1.13863637,Number of animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities,0,2.7619486
Water Security and Climate Adaptation in Mandera and Wajir Clusters,Resilience,100,1.13863637,Number of plant genetic resources for food and agriculture secured in either medium- or long-term conservation facilities,51309.5,41916.18
Water Security and Climate Adaptation in Mandera and Wajir Clusters,Resilience,100,1.13863637,Prevalence of severe coping strategies,0.31671298,0.3877903
Water Security and Climate Adaptation in Mandera and Wajir Clusters,Resilience,100,1.13863637,Proportion of agricultural land with minimum level of species diversity (crop and pasture),30.6862,43.054363
Water Security and Climate Adaptation in Mandera and Wajir Clusters,Resilience,100,1.13863637,Ratio of total damages from all disasters to GDP,0.15402226,0.485818
Water Security and Climate Adaptation in Mandera and Wajir Clusters,Resilience,100,1.13863637,Social capital index,0.33948606,0.43231088
